blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),low std: Wavelength (nm),low std: Fluorescence 405 nm (rel),med: Wavelength (nm),med: Fluorescence 405 nm (rel),hi: Wavelength (nm),hi: Fluorescence 405 nm (rel),QC: Wavelength (nm),QC: Fluorescence 405 nm (rel),QC2: Wavelength (nm),QC2: Fluorescence 405 nm (rel),QC3: Wavelength (nm),QC3: Fluorescence 405 nm (rel),tonic1: Wavelength (nm),tonic1: Fluorescence 405 nm (rel),tonic2: Wavelength (nm),tonic2: Fluorescence 405 nm (rel),tonic3: Wavelength (nm),tonic3: Fluorescence 405 nm (rel)
435.2,0.010577244,435.2,0.016933376,435.2,0.017901463,435.2,0.054983201,435.2,0.176132337,435.2,0.501389883,435.2,0.083635464,435.2,0.083845662,435.2,0.084317648,435.2,0.092828324,435.2,0.094877121,435.2,0.093603897
436.1,0.00983535,436.1,0.014792197,436.1,0.014269386,436.1,0.054011635,436.1,0.178983617,436.1,0.512188075,436.1,0.084431068,436.1,0.084130575,436.1,0.084864749,436.1,0.094439028,436.1,0.096029565,436.1,0.09564928
437,0.008634286,437,0.01240362,437,0.015550289,437,0.053374643,437,0.179762599,437,0.520404677,437,0.085103393,437,0.083523083,437,0.084936724,437,0.096081386,437,0.097328359,437,0.097660532
437.8,0.00797087,437.8,0.011836264,437.8,0.011421663,437.8,0.052646251,437.8,0.181317408,437.8,0.530587739,437.8,0.085442435,437.8,0.084405695,437.8,0.085488781,437.8,0.098867709,437.8,0.098745139,437.8,0.097871798
438.7,0.007772569,438.7,0.010020659,438.7,0.015995067,438.7,0.05245009,438.7,0.183172886,438.7,0.53883804,438.7,0.086600395,438.7,0.085111328,438.7,0.086817416,438.7,0.099671571,438.7,0.10048953,438.7,0.099963807
439.6,0.007312495,439.6,0.00781133,439.6,0.010951289,439.6,0.052743381,439.6,0.186735008,439.6,0.548775433,439.6,0.087553708,439.6,0.087165505,439.6,0.087925877,439.6,0.101414576,439.6,0.103001393,439.6,0.100845654
440.4,0.006850999,440.4,0.00695223,440.4,0.013071272,440.4,0.05258085,440.4,0.189766608,440.4,0.559550273,440.4,0.088964545,440.4,0.088042714,440.4,0.089047948,440.4,0.103764923,440.4,0.105667334,440.4,0.103928712
441.3,0.00633049,441.3,0.012380462,441.3,0.012270791,441.3,0.052214228,441.3,0.192049465,441.3,0.568788819,441.3,0.090388193,441.3,0.09020859,441.3,0.089045806,441.3,0.105880363,441.3,0.109176614,441.3,0.106142418
442.1,0.006726064,442.1,0.009059475,442.1,0.014489871,442.1,0.052532119,442.1,0.194196964,442.1,0.57921021,442.1,0.092887123,442.1,0.091672277,442.1,0.090673317,442.1,0.10861486,442.1,0.111514465,442.1,0.108004571
443,0.006624857,443,0.012854191,443,0.01002393,443,0.052683787,443,0.196705633,443,0.586858274,443,0.09412225,443,0.093728061,443,0.093416139,443,0.110755908,443,0.11322081,443,0.110919669
