"blank: Wavelength (nm)","blank: Fluorescence 405 nm (rel)","low std: Wavelength (nm)","low std: Fluorescence 405 nm (rel)","med: Wavelength (nm)","med: Fluorescence 405 nm (rel)","hi: Wavelength (nm)","hi: Fluorescence 405 nm (rel)","QC: Wavelength (nm)","QC: Fluorescence 405 nm (rel)","QC2: Wavelength (nm)","QC2: Fluorescence 405 nm (rel)","QC3: Wavelength (nm)","QC3: Fluorescence 405 nm (rel)","tonic1: Wavelength (nm)","tonic1: Fluorescence 405 nm (rel)","tonic2: Wavelength (nm)","tonic2: Fluorescence 405 nm (rel)","tonic3: Wavelength (nm)","tonic3: Fluorescence 405 nm (rel)"
426.6,0.0275121745257,426.6,0.0755308756501,426.6,0.175856752061,426.6,0.417698422461,426.6,0.0909287709337,426.6,0.0880995036843,426.6,0.087979227246,426.6,0.0871956552583,426.6,0.0884744908092,426.6,0.0844662720058
427.5,0.0251002682605,427.5,0.0726279365621,427.5,0.175068237896,427.5,0.425985105177,427.5,0.0889956841773,427.5,0.087231471712,427.5,0.0871398141949,427.5,0.0867841761043,427.5,0.0880364393591,427.5,0.0843763270704
428.3,0.0225939063463,428.3,0.0696614484496,428.3,0.172851326768,428.3,0.432936803852,428.3,0.0873204379398,428.3,0.0856082233015,428.3,0.0855884139119,428.3,0.0857225814368,428.3,0.0878781284833,428.3,0.0847900695617
429.2,0.0200858420909,429.2,0.0674917863546,429.2,0.171274077827,429.2,0.441035025474,429.2,0.0853366923378,429.2,0.0847423118043,429.2,0.0846031747885,429.2,0.0862064932539,429.2,0.0882644499174,429.2,0.0846914649645
430,0.0175391969321,430,0.0655557709124,430,0.172328384519,430,0.450097569629,430,0.0851981330071,430,0.0847665405424,430,0.0844995556374,430,0.08663361983,430,0.0886568364536,430,0.0861798578515
430.9,0.0156958667976,430.9,0.0626725803438,430.9,0.172487534949,430.9,0.459334441338,430.9,0.0846159079643,430.9,0.0842259681271,430.9,0.0846131001556,430.9,0.0881492976698,430.9,0.0889915106983,430.9,0.0859799414464
431.8,0.0147480978564,431.8,0.0611341016477,431.8,0.175245489664,431.8,0.466714586467,431.8,0.0852961647018,431.8,0.0839823642355,431.8,0.0849885159582,431.8,0.0898462140573,431.8,0.090831424076,431.8,0.088324594166
432.6,0.0135036654989,432.6,0.0579970992321,432.6,0.174035843878,432.6,0.4735246117,432.6,0.0842440372757,432.6,0.0824618878715,432.6,0.0835626792611,432.6,0.0906228173396,432.6,0.0917484285493,432.6,0.0886001099237
433.5,0.0126052913319,433.5,0.0576089678518,433.5,0.174741740604,433.5,0.481922953486,433.5,0.0844380046908,433.5,0.083067126017,433.5,0.0834452428974,433.5,0.0922410131323,433.5,0.0932834885352,433.5,0.0901307739801
434.4,0.0117167426987,434.4,0.0554035145439,434.4,0.174112678374,434.4,0.491740279467,434.4,0.0831217306419,434.4,0.0832948610972,434.4,0.0837237828482,434.4,0.092611203745,434.4,0.0934661567062,434.4,0.0914247877167
435.2,0.0105772444762,435.2,0.0549832007506,435.2,0.176132336615,435.2,0.501389883337,435.2,0.0836354635992,435.2,0.0838456618054,435.2,0.0843176480093,435.2,0.0928283244865,435.2,0.0948771207513,435.2,0.0936038967719
436.1,0.00983535002541,436.1,0.0540116354173,436.1,0.17898361652,436.1,0.512188074786,436.1,0.0844310681211,436.1,0.0841305752861,436.1,0.0848647491109,436.1,0.0944390279249,436.1,0.096029565355,436.1,0.0956492803936
437,0.00863428624974,437,0.0533746429512,437,0.179762599496,437,0.520404676944,437,0.0851033928471,437,0.0835230830577,437,0.084936724434,437,0.0960813862776,437,0.0973283592407,437,0.0976605317598
